"University","CostIState","CostOState"
"Earlham College",45750,45750
"Kansas Wesleyan University",28980,28980
"Prairie View A&M University",9959,23488
"LeTourneau University",29320,29320
"Corban University",31640,31640
"University of Kansas",10824,26592
"Illinois Wesleyan University",45856,45856
"Grand View University",26516,26516
"University of Florida",6381,28658
"Eastern Kentucky University",9296,19074
"Muskingum University",28062,28062
"Stillman College",10938,10938
"D'Youville College",25870,25870
"Maryville University of Saint Louis",28470,28470
"West Texas A&M University",7557,9418
"College of Mount St. Joseph",29100,29100
"Marygrove College",22750,22750
"Sam Houston State University",9891,22341
"Hannibal-LaGrange University",21710,21710
"East Texas Baptist University",25470,25470
"Northeastern Illinois University",13420,24739
"San Diego State University",7460,19340
"University of Mary",17980,17980
"Eastern Michigan University",13438,30619
"Judson University",29434,29434
"Principia College",28920,28920
"Minnesota State University Moorhead",8467,15876
"Heidelberg University",30200,30200
"University of Evansville",35396,35396
"National Louis University",18000,18000
"Eureka College",25390,25390
"Case Western Reserve University",47500,47500
