"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"colby college",53120,53120,"private",1857,"most difficult",0.23,7593,"waterville","ME"
"worcester polytechnic institute",48628,48628,"private",4432,"very difficult",0.48,10468,"worcester","MA"
"colgate university",53980,53980,"private",2853,"most difficult",0.27,8724,"hamilton","NY"
"molloy college",30290,30290,"private",3598,"moderately difficult",0.77,4030,"rockville centre","NY"
"monmouth university",36733,36733,"private",4707,"moderately difficult",0.77,9097,"west long branch","NJ"
"cooper union",45100,45100,"private",876,"",NA,NA,"new york","NY"
"worcester state university",9532,15612,"public",5381,"moderately difficult",0.71,3876,"worcester","MA"
"drew university",49168,49168,"private",1521,"moderately difficult",0.57,3494,"madison","NJ"
"montclair state university",12455,20567,"public",16810,"moderately difficult",0.7,11990,"montclair","NJ"
"moore college of art & design",40018,40018,"private",406,"moderately difficult",0.56,557,"philadelphia","PA"
"yale university",51400,51400,"private",5532,"most difficult",0.07,30236,"new haven","CT"
"yeshiva university",42000,42000,"private",2744,"moderately difficult",0.8,1558,"new york","NY"
"gannon university",30932,30932,"private",3098,"moderately difficult",0.78,4710,"erie","PA"
"york college of pennsylvania",19430,19430,"private",4537,"moderately difficult",0.43,13235,"york","PA"
"colby-sawyer college",40386,40386,"private",1090,"moderately difficult",0.87,1989,"new london","NH"
"fitchburg state university",10173,16253,"public",4162,"moderately difficult",0.75,3566,"fitchburg","MA"
"green mountain college",37002,37002,"private",515,"moderately difficult",0.79,881,"poultney","VT"
"lim college",26350,26350,"private for profit",1499,"",NA,NA,"new york","NY"
"moravian college",42024,42024,"private",2006,"moderately difficult",0.8,2512,"bethlehem","PA"
"mount holyoke college",47940,47940,"private",2202,"very difficult",0.52,3543,"south hadley","MA"
"johnson & wales university",31158,31158,"private",8718,"moderately difficult",0.82,11971,"providence","RI"
"johnson & wales university",31158,31158,"private",1356,"moderately difficult",0.81,2319,"denver","CO"
"johnson & wales university",31158,31158,"private",1752,"moderately difficult",0.76,4049,"north miami","FL"
"mount st. mary college",29920,29920,"private",2128,"moderately difficult",0.9,3747,"newburgh","NY"
"california state university long beach",6794,18674,"public",32246,"moderately difficult",0.32,60732,"long beach","CA"
"college of mount st. vincent",36640,36640,"private",1702,"moderately difficult",0.93,2667,"riverdale","NY"
"ohio state universitiy lima",7553,26657,"public",999,"noncompetitive",0.99,1078,"lima","OH"
"ohio state university mansfield",7553,26657,"public",1189,"noncompetitive",0.99,1607,"mansfield","OH"
"ohio state universitity marion",7553,26657,"public",1083,"noncompetitive",0.99,873,"marion","OH"
"ohio state university newark",7553,26657,"public",2448,"noncompetitive",0.99,2831,"newark","OH"
"clarkson college",16305,16305,"private",658,"moderately difficult",0.55,87,"omaha","NE"
"university of puerto rico rio piedras",2078,2078,"public",15356,"very difficult",0.36,8290,"san juan","PR"
"paul quinn college",8275,8275,"private",243,"moderately difficult",0.99,632,"dallas","TX"
"wiley college",12306,12306,"private",925,"minimally difficult",0.4,976,"marshall","TX"
"ursuline college",31210,31210,"private",706,"minimally difficult",0.66,374,"pepper pike","OH"
"university of maine augusta",7808,17498,"public",4683,"noncompetitive",0.98,1025,"augusta","ME"
"university of texas dallas",12528,34644,"public",17350,"very difficult",0.68,12686,"richardson","TX"
"williams baptist college",17320,17320,"private",469,"minimally difficult",0.6,665,"walnut ridge","AR"
"american university of puerto rico",6824,6824,"private",2324,"noncompetitive",0.83,325,"bayamon","PR"
"inter american university of puerto rico san german campus",6180,6180,"private",4031,"moderately difficult",0.69,1453,"san germán","PR"
"university of puerto rico humacao",1794,1794,"public",3774,"moderately difficult",0.4,1913,"humacao","PR"
"polytechnic university of puerto rico",8328,8328,"private",3493,"minimally difficult",0.85,611,"hato rey","PR"
"lindsey wilson college",24246,24246,"private",2143,"minimally difficult",0.72,2887,"columbia","KY"
"mount olive college",19700,19700,"private",3855,"minimally difficult",0.5,1838,"mount olive","NC"
"schreiner university",26750,26750,"private",1237,"moderately difficult",0.91,998,"kerrville","TX"
"heritage university",18084,18084,"private",861,"",NA,NA,"toppenish","WA"
"bayamon central university",5775,5775,"private",1722,"",0.45,517,"bayamón","PR"
"college of st. joseph",24000,24000,"private",237,"minimally difficult",0.69,146,"rutland","VT"
"christendom college",25580,25580,"private",477,"moderately difficult",0.87,323,"front royal","VA"
"university of phoenix",NA,NA,"private for profit",3718,"noncompetitive",NA,NA,"tempe","AZ"
"pacific oaks college",24240,24240,"private",257,"",0.77,339,"pasadena","CA"
"east-west university",20970,20970,"private",755,"minimally difficult",0.89,1008,"chicago","IL"
"farmingdale state college",8076,17726,"public",9235,"moderately difficult",0.58,6169,"farmingdale","NY"
"mount ida college",35720,35720,"private",1320,"moderately difficult",0.63,2319,"newton","MA"
"warner pacific college",24500,24500,"private",552,"moderately difficult",0.63,476,"portland","OR"
"cazenovia college",33656,33656,"private",1042,"minimally difficult",0.9,1730,"cazenovia","NY"
