"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"clarke university",31950,31950,"private",801,"moderately difficult",0.65,1172,"dubuque","IA"
"cleary university",19500,19500,"private",618,"moderately difficult",0.48,81,"howell","MI"
"cleveland institute of art",40675,40675,"private",625,"moderately difficult",0.61,864,"cleveland","OH"
"cleveland institute of music",49106,49106,"private",230,"very difficult",0.44,437,"cleveland","OH"
"cleveland state university",9696,13747,"public",12433,"moderately difficult",0.88,8351,"cleveland","OH"
"coe college",42430,42430,"private",1409,"moderately difficult",0.5,6725,"cedar rapids","IA"
"columbia college chicago",26370,26370,"private",7809,"moderately difficult",0.88,8325,"chicago","IL"
"columbia college",21936,21936,"private",936,"minimally difficult",0.51,1580,"columbia","MO"
"columbia college",21936,21936,"private",1554,"moderately difficult",0.89,506,"columbia","SC"
"columbia college",21936,21936,"private for profit",1750,"noncompetitive",0.54,967,"caguas","PR"
"columbus college of art & design",33960,33960,"private",1060,"moderately difficult",0.79,612,"columbus","OH"
"conception seminary college",21326,21326,"private",NA,"noncompetitive",NA,NA,"conception","MO"
"concordia university chicago",31562,31562,"private",1530,"moderately difficult",0.5,4802,"river forest","IL"
"concordia university ann arbor",28436,28436,"private",509,"moderately difficult",0.56,837,"ann arbor","MI"
"concordia college",38378,38378,"private",2114,"moderately difficult",0.65,3741,"moorhead","MN"
"concordia university st. paul",21750,21750,"private",2659,"minimally difficult",0.56,1704,"st paul","MN"
"concordia university wisconsin",28600,28600,"private",3830,"moderately difficult",0.74,2632,"mequon","WI"
"cornell college",40880,40880,"private",976,"moderately difficult",0.71,1965,"mount vernon","IA"
"culver-stockton college",26040,26040,"private",1058,"moderately difficult",0.58,3305,"canton","MO"
"university of dayton",41750,41750,"private",8330,"moderately difficult",0.58,16968,"dayton","OH"
"defiance college",32250,32250,"private",582,"moderately difficult",0.58,1100,"defiance","OH"
"denison university",50440,50440,"private",2277,"very difficult",0.44,6881,"granville","OH"
"depaul university",38410,38410,"private",15961,"moderately difficult",0.72,19628,"chicago","IL"
"depauw university",47838,47838,"private",2225,"moderately difficult",0.65,4845,"greencastle","IN"
"university of detroit mercy",41158,41158,"private",2646,"moderately difficult",0.78,4542,"detroit","MI"
"devry university chicago",17512,17512,"private for profit",784,"minimally difficult",NA,NA,"chicago","IL"
"devry university columbus",17512,17512,"private for profit",961,"minimally difficult",NA,NA,"columbus","OH"
"martin luther college",14680,14680,"private",859,"moderately difficult",0.83,293,"new ulm","MN"
"drake university",39062,39062,"private",3267,"moderately difficult",0.69,4959,"des moines","IA"
"drury university",27005,27005,"private",1370,"moderately difficult",0.7,1563,"springfield","MO"
"university of dubuque",29710,29710,"private",1924,"moderately difficult",0.76,1662,"dubuque","IA"
"kettering university",42490,42490,"private",1905,"very difficult",0.72,2251,"flint","MI"
"grace college",23930,23930,"private",1934,"moderately difficult",0.78,4204,"winona lake","IN"
"hanover college",36520,36520,"private",1090,"moderately difficult",0.57,3696,"hanover","IN"
"benedictine university",33900,33900,"private",3347,"moderately difficult",0.79,1980,"lisle","IL"
"indiana institute of technology",26370,26370,"private",5738,"moderately difficult",0.72,2324,"fort wayne","IN"
"indiana university kokomo",7207,19038,"public",3977,"minimally difficult",0.69,1513,"kokomo","IN"
"kendall college",25278,25278,"private for profit",1200,"minimally difficult",0.84,154,"chicago","IL"
"lake erie college",30862,30862,"private",955,"moderately difficult",0.63,1485,"painesville","OH"
"lakeland university",27760,27760,"private",2964,"minimally difficult",0.77,687,"plymouth","WI"
"lindenwood university",16960,16960,"private",7549,"moderately difficult",0.55,4039,"st charles","MO"
"manchester university",31660,31660,"private",1272,"moderately difficult",0.71,2431,"north manchester","IN"
"marietta college",36040,36040,"private",1144,"moderately difficult",0.61,2700,"marietta","OH"
"mckendree university",29640,29640,"private",2290,"moderately difficult",0.68,2283,"lebanon","IL"
"metropolitan state university",7860,14961,"public",7593,"minimally difficult",1,376,"st paul","MN"
"rochester college",23520,23520,"private",970,"minimally difficult",0.8,210,"rochester hills","MI"
"university of michigan",14826,47476,"public",28983,"very difficult",0.29,55504,"ann arbor","MI"
"millikin university",33166,33166,"private",1971,"moderately difficult",0.64,3608,"decatur","IL"
"milwaukee institute of art & design",36230,36230,"private",630,"moderately difficult",0.53,921,"milwaukee","WI"
"missouri southern state university",6067,11568,"public",5732,"moderately difficult",0.94,2333,"joplin","MO"
"mount mercy university",30582,30582,"private",1580,"moderately difficult",0.62,1288,"cedar rapids","IA"
"north central college",37749,37749,"private",2716,"moderately difficult",0.59,6860,"naperville","IL"
"university of northern iowa",8699,19241,"public",10104,"moderately difficult",0.82,5287,"cedar falls","IA"
"northwestern college",30200,30200,"private",1099,"moderately difficult",0.66,2199,"orange city","IA"
"university of northwestern st. paul",30794,30794,"private",3222,"moderately difficult",0.7,1356,"st paul","MN"
"northwood university",26080,26080,"private",1442,"moderately difficult",0.72,2265,"midland","MI"
"notre dame college",29300,29300,"private",1240,"moderately difficult",0.52,1255,"south euclid","OH"
"oakland city university",23700,23700,"private",1270,"minimally difficult",0.33,628,"oakland city","IN"
"ohio university",11896,21360,"public",23788,"moderately difficult",0.75,20623,"athens","OH"
"ohio wesleyan university",44690,44690,"private",1639,"very difficult",0.72,4123,"delaware","OH"
"rockford university",30050,30050,"private",1086,"",NA,NA,"rockford","IL"
"university of st. francis",31470,31470,"private",1362,"moderately difficult",0.49,1560,"joliet","IL"
"university of st. francis",31470,31470,"private",1810,"minimally difficult",0.97,977,"fort wayne","IN"
"saint mary's college",40800,40800,"private",1625,"moderately difficult",0.82,1771,"notre dame","IN"
"college of st. scholastica",36212,36212,"private",2841,"moderately difficult",0.64,3232,"duluth","MN"
"saint xavier university",33350,33350,"private",2993,"moderately difficult",0.83,5520,"chicago","IL"
"columbia university",57208,57208,"private",6158,"most difficult",0.06,36292,"new york","NY"
"connecticut college",52850,52850,"private",1865,"very difficult",0.35,5879,"new london","CT"
"university of connecticut",14880,36948,"public",18395,"moderately difficult",0.5,31280,"storrs","CT"
"john jay college of criminal justice",7070,17940,"public",12674,"moderately difficult",0.34,13899,"new york","NY"
"dartmouth college",53786,53786,"private",4310,"most difficult",0.11,20675,"hanover","NH"
"college of staten island",7089,17959,"public",12806,"",NA,NA,"staten island","NY"
"city college of new york",6940,17810,"public",13508,"moderately difficult",0.4,24735,"new york","NY"
"daemen college",27990,27990,"private",1993,"moderately difficult",0.52,3219,"amherst","NY"
"drexel university",52002,52002,"private",15499,"moderately difficult",0.75,28535,"philadelphia","PA"
"duquesne university",36394,36394,"private",6039,"moderately difficult",0.73,7655,"pittsburgh","PA"
"edinboro university",10282,14668,"public",5585,"moderately difficult",0.99,3143,"edinboro","PA"
"elmira college",41900,41900,"private",1101,"moderately difficult",0.82,2096,"elmira","NY"
"elms college",34578,34578,"private",1188,"moderately difficult",0.76,684,"chicopee","MA"
"framingham state university",9920,16000,"public",4337,"moderately difficult",0.65,6204,"framingham","MA"
"franklin pierce university",34995,34995,"private",1752,"minimally difficult",0.81,6506,"rindge","NH"
"hamilton college",52770,52770,"private",1879,"very difficult",0.26,5230,"clinton","NY"
"hampshire college",51608,51608,"private",1321,"moderately difficult",0.64,2347,"amherst","MA"
"university of hartford",38910,38910,"private",5150,"moderately difficult",0.72,15526,"west hartford","CT"
"hobart & william smith colleges",53525,53525,"private",2262,"very difficult",0.6,4614,"geneva","NY"
"hofstra university",43960,43960,"private",6899,"moderately difficult",0.62,28617,"hempstead","NY"
"holy family university",30346,30346,"private",1950,"minimally difficult",0.68,1441,"philadelphia","PA"
"immaculata university",27350,27350,"private",1555,"moderately difficult",0.82,1582,"immaculata","PA"
"grand valley state university",11994,17064,"public",22209,"moderately difficult",0.82,17104,"allendale","MI"
"indiana university purdue university fort wayne",8330,20005,"public",12674,"minimally difficult",0.91,3386,"fort wayne","IN"
"indiana university of pennsylvania",12146,15882,"public",10618,"minimally difficult",0.92,8943,"indiana","PA"
"kutztown university of pennsylvania",9987,13733,"public",7718,"moderately difficult",0.8,7668,"kutztown","PA"
"la roche college",27720,27720,"private",1406,"minimally difficult",0.92,1320,"pittsburgh","PA"
"la salle university",29500,29500,"private",3652,"moderately difficult",0.77,5673,"philadelphia","PA"
"lebanon valley college",42180,42180,"private",1712,"moderately difficult",0.76,2561,"annville","PA"
"le moyne college",33905,33905,"private",2897,"moderately difficult",0.65,6832,"syracuse","NY"
"lesley university",27470,27470,"private",1929,"",0.64,3386,"cambridge","MA"
"lock haven university of pennsylvania",10576,19814,"public",3845,"moderately difficult",0.88,3750,"lock haven","PA"
"lycoming college",38843,38843,"private",1272,"moderately difficult",0.7,1876,"williamsport","PA"
"new england conservatory of music",46930,46930,"private",409,"very difficult",0.32,1170,"boston","MA"
"university of new hampshire",18067,32637,"public",12871,"moderately difficult",0.76,20203,"durham","NH"
"university of new haven",38170,38170,"private",4936,"moderately difficult",0.81,10720,"west haven","CT"
"college of new rochelle",36618,36618,"private",936,"moderately difficult",0.32,1727,"new rochelle","NY"
"new york university",50464,50464,"private",24985,"very difficult",0.35,50804,"new york","NY"
"massachusetts college of liberal arts",10310,19255,"public",1444,"moderately difficult",0.77,2013,"north adams","MA"
"norwich university",38662,38662,"private",2649,"moderately difficult",0.66,3138,"northfield","VT"
"iona college",37682,37682,"private",3329,"moderately difficult",0.91,10896,"new rochelle","NY"
"liu post",36978,36978,"private",6224,"moderately difficult",0.81,6371,"brookville","NY"
"juniata college",43875,43875,"private",3796,"moderately difficult",0.75,2386,"huntingdon","PA"
"houghton college",31540,31540,"private",1043,"moderately difficult",0.75,1074,"houghton","NY"
"husson university",17561,17561,"private",2834,"moderately difficult",0.8,2460,"bangor","ME"
"harvard university",48859,48859,"private",6712,"most difficult",0.05,39041,"cambridge","MA"
"grove city college",17254,17254,"private",2392,"moderately difficult",0.82,1517,"grove city","PA"
"gordon college",36740,36740,"private",1657,"moderately difficult",0.92,2714,"wenham","MA"
"geneva college",26070,26070,"private",1457,"moderately difficult",0.71,1587,"beaver falls","PA"
"medgar evers college",6953,17823,"public",6819,"noncompetitive",0.98,10105,"brooklyn","NY"
"emmanuel college",38844,38844,"private",2012,"",0.71,6223,"boston","MA"
"emmanuel college",38844,38844,"private",920,"minimally difficult",0.41,1386,"franklin springs","GA"
"emerson college",44832,44832,"private",3790,"very difficult",0.48,9149,"boston","MA"
"eastern nazarene college",31780,31780,"private",784,"moderately difficult",0.63,989,"quincy","MA"
"fairfield university",47165,47165,"private",4032,"very difficult",0.61,11055,"fairfield","CT"
"brandeis university",53537,53537,"private",3608,"most difficult",0.33,11351,"waltham","MA"
"college of saint benedict",43738,43738,"private",1958,"moderately difficult",0.88,1859,"saint joseph","MN"
"eastern connecticut state university",10919,22377,"public",5097,"moderately difficult",0.64,5370,"willimantic","CT"
"northeastern university",49497,49497,"private",17923,"very difficult",0.29,51063,"boston","MA"
"alma college",38768,38768,"private",1451,"moderately difficult",0.68,4695,"alma","MI"
"avila university",28820,28820,"private",1320,"minimally difficult",0.56,1382,"kansas city","MO"
"augustana college",40908,40908,"private",2537,"moderately difficult",0.52,6587,"rock island","IL"
"school of the art institute of chicago",47420,47420,"private",2849,"very difficult",0.59,5244,"chicago","IL"
"anderson university",29710,29710,"private",1883,"moderately difficult",0.66,2650,"anderson","IN"
"anderson university",29710,29710,"private",2940,"minimally difficult",0.54,3316,"anderson","SC"
"andrews university",28436,28436,"private",1688,"moderately difficult",0.4,2417,"berrien springs","MI"
"aurora university",23520,23520,"private",3796,"moderately difficult",0.88,2615,"aurora","IL"
"art academy of cincinnati",31290,31290,"private",164,"moderately difficult",0.21,541,"cincinnati","OH"
"alabama state university",11068,19396,"public",4727,"minimally difficult",0.46,9053,"montgomery","AL"
"alabama a&m university",9698,17918,"public",4940,"minimally difficult",0.51,5363,"huntsville","AL"
"university of alabama birmingham",10410,23790,"public",12369,"moderately difficult",0.89,5838,"birmingham","AL"
"university of alabama huntsville",10280,21480,"public",6507,"moderately difficult",0.76,4545,"huntsville","AL"
"university of alabama",10780,28100,"public",32563,"moderately difficult",0.53,38237,"tuscaloosa","AL"
"albany state university",6726,19802,"public",2594,"minimally difficult",0.5,2915,"albany","GA"
